Anio,Mes,Codigo,Descripcion,ipc,reg_1,reg_2,reg_3,reg_4,reg_5,reg_6,reg_7,reg_8
2015,Enero,0116104,Naranja                                                                                             ,315.57,226.11,436.05,373.13,665.84,254.61,294.60,301.80,290.96
2015,Enero,0116105,Plátano                                                                                             ,183.64,184.32,263.82,225.89,205.54,159.94,172.97,188.61,133.34
2015,Enero,0116106,Frutas de estación                                                                                  ,201.53,168.19,208.39,174.40,393.10,174.56,177.63,281.52,218.01
2015,Enero,0116201,Frutas en conserva                                                                                  ,119.81,114.60,117.38,116.42,141.54,120.18,120.85,163.09,109.77
2015,Enero,0117101,Tomate                                                                                              ,128.58,88.31,147.29,116.93,159.45,166.24,128.59,122.90,166.01
2015,Enero,0117102,Güisquil                                                                                            ,278.42,144.90,368.14,155.04,553.24,213.79,185.87,524.78,191.63
2015,Enero,0117103,Chile pimiento                                                                                      ,336.24,315.06,383.75,235.98,415.93,384.61,297.78,465.26,434.25
2015,Enero,0117104,Pepino                                                                                              ,216.09,155.24,340.04,185.29,314.12,314.39,165.75,350.30,175.55
2015,Enero,0117105,Güicoy (variedad)                                                                                   ,180.57,118.25,342.98,126.26,403.85,155.73,137.05,472.94,203.36
2015,Enero,0117106,Repollo                                                                                             ,178.61,122.13,186.66,123.14,611.54,148.79,112.64,198.25,127.70
2015,Enero,0117107,Lechuga                                                                                             ,217.24,167.97,332.09,156.18,601.47,181.69,169.91,347.16,145.98
2015,Enero,0117108,Frijol                                                                                              ,114.91,102.37,143.45,113.76,152.44,117.63,102.26,100.09,133.37
2015,Enero,0117109,Ejotes                                                                                              ,245.15,240.27,248.67,159.60,398.73,215.19,191.21,375.31,197.18
2015,Enero,0117110,Elote                                                                                               ,211.47,158.46,357.51,196.37,195.84,303.43,177.10,251.77,164.82
2015,Enero,0117111,Cebolla                                                                                             ,197.97,151.77,240.56,173.44,397.56,174.11,146.84,284.81,188.12
2015,Enero,0117112,Papa                                                                                                ,169.78,96.97,136.62,109.47,331.19,112.63,116.46,360.70,114.34
2015,Enero,0117113,Zanahoria                                                                                           ,188.66,113.79,277.35,122.66,280.41,204.20,174.61,289.11,245.62
2015,Enero,0117114,Rábano                                                                                              ,267.50,253.68,557.03,120.05,410.43,294.97,252.64,248.43,148.47
2015,Enero,0117115,Remolacha                                                                                           ,169.30,141.98,281.30,109.75,486.66,156.10,131.22,214.84,141.73
2015,Enero,0117116,Yuca                                                                                                ,244.93,180.43,181.90,183.28,649.99,242.31,217.23,299.54,336.63
2015,Enero,0117117,Brócoli                                                                                             ,214.93,176.75,356.39,156.24,488.38,176.08,187.45,297.33,172.63
2015,Enero,0117118,Culantro                                                                                            ,710.67,468.45,1626.19,320.92,2194.57,336.02,336.32,425.88,463.29
2015,Enero,0117119,Hierbabuena                                                                                         ,358.41,255.20,1422.81,293.86,434.58,300.80,382.62,205.87,482.69
2015,Enero,0117120,Otras legumbres y hortalizas                                                                        ,267.91,192.49,302.87,150.18,473.39,185.34,172.44,485.32,234.15
2015,Enero,0118101,Azúcar                                                                                              ,120.46,110.93,122.20,122.98,138.96,118.02,115.71,123.21,129.59
2015,Enero,0118201,Jaleas                                                                                              ,122.99,122.59,112.74,115.67,0.00,125.94,110.36,124.02,117.42
2015,Enero,0118202,Compotas                                                                                            ,126.97,135.99,128.90,114.90,135.51,118.08,114.09,139.68,121.89
2015,Enero,0118301,"Dulces, chocolates y goma de mascar                                                                 ",110.75,118.99,108.93,105.00,109.44,105.21,108.10,111.87,105.32
2015,Enero,0118401,Helados                                                                                             ,114.50,117.10,112.93,111.89,123.96,109.77,111.02,106.93,114.61
2015,Enero,0119101,Salsa de tomate                                                                                     ,114.47,118.41,109.89,110.16,112.07,116.06,109.69,117.64,109.25
2015,Enero,0119102,Pasta de tomate                                                                                     ,136.77,141.62,118.99,138.26,151.70,131.88,118.68,150.46,129.72
2015,Enero,0119103,Mayonesa y mostaza                                                                                  ,114.26,112.37,111.12,117.68,129.19,109.40,111.10,125.74,114.38
2015,Enero,0119104,Sazonadores                                                                                         ,130.38,137.61,125.82,139.57,134.65,132.06,119.00,207.39,113.83
2015,Enero,0119105,Sal                                                                                                 ,128.93,123.85,136.04,125.79,163.51,125.75,123.97,118.21,140.95
2015,Enero,0119201,Canela                                                                                              ,274.99,162.49,274.11,194.31,199.81,271.88,152.01,325.23,1452.69
2015,Enero,0119202,Pepitoria y manía                                                                                   ,120.76,116.13,127.98,148.75,195.46,117.31,117.72,110.62,178.65
2015,Enero,0119203,Chiles picantes                                                                                     ,167.96,364.13,190.61,198.75,2113.89,147.00,136.39,108.78,343.33
2015,Enero,0119301,Consomé de pollo                                                                                    ,129.38,136.27,132.42,125.74,137.57,125.44,123.12,148.28,102.29
2015,Enero,0119302,Sopas concentradas en sobre                                                                         ,123.21,131.87,114.95,129.16,126.93,118.22,110.57,131.37,117.82
2015,Enero,0119303,Sopas instantáneas                                                                                  ,114.92,122.12,114.62,114.56,111.48,116.68,110.16,115.30,108.57
2015,Enero,0119304,Polvos para gelatina                                                                                ,135.78,135.95,133.00,123.22,170.25,129.74,126.00,137.80,129.66
2015,Enero,0119305,Alimentos enlatados                                                                                 ,114.01,114.09,115.95,112.35,115.44,116.63,108.33,121.75,113.96
2015,Enero,0121101,Café instantáneo                                                                                    ,117.44,117.04,123.59,119.61,119.82,119.67,113.18,128.48,111.02
2015,Enero,0121102,Otras bebidas                                                                                       ,123.20,135.78,107.89,114.85,123.98,127.08,118.49,130.45,143.61
2015,Enero,0121201,Agua envasada                                                                                       ,107.05,106.98,104.77,111.50,115.61,105.34,107.16,100.63,105.42
2015,Enero,0121301,Aguas gaseosas                                                                                      ,117.26,125.69,114.25,113.29,124.08,114.18,111.60,114.83,112.42
2015,Enero,0121401,Polvo para refresco                                                                                 ,139.57,141.09,150.25,143.27,147.50,145.48,128.47,144.88,119.42
2015,Enero,0121402,Jugos de frutas                                                                                     ,116.96,119.88,111.81,116.71,122.55,113.55,108.94,122.12,111.71
2015,Enero,0121501,Refrescos naturales                                                                                 ,118.84,117.17,118.09,119.54,118.64,128.15,106.40,115.81,129.48
2015,Enero,0121502,Refrescos artificiales                                                                              ,113.14,124.21,112.64,106.75,117.72,107.19,105.55,123.92,106.91
2015,Enero,02,Bebidas alcohólicas y tabaco                                                                        ,104.80,106.15,99.50,107.99,113.30,104.57,98.27,101.52,102.44
2015,Enero,0211101,Licores varios                                                                                      ,102.79,102.95,101.35,106.02,103.27,101.92,102.05,100.45,102.40
2015,Enero,0212101,Vino blanco                                                                                         ,104.61,103.03,123.27,109.75,113.57,0.00,0.00,0.00,107.31
2015,Enero,0212102,Vino tinto                                                                                          ,114.96,115.31,113.49,117.36,113.09,120.95,110.97,0.00,0.00
2015,Enero,0213101,Cerveza                                                                                             ,93.83,91.43,95.55,92.10,93.49,97.76,94.88,95.86,95.56
2015,Enero,0221101,Cigarrillos de tabaco                                                                               ,129.28,129.94,130.04,130.69,133.20,120.31,124.99,127.12,127.55
2015,Enero,03,Prendas de vestir y calzado                                                                         ,109.82,107.68,111.59,115.89,113.39,112.47,108.64,108.36,110.41
2015,Enero,0311101,Telas para confección de vestuario                                                                  ,115.91,104.83,116.46,122.30,123.50,116.27,123.82,114.65,110.87
2015,Enero,0312101,Pantalón para hombre                                                                                ,112.45,111.04,114.71,121.63,111.91,119.53,108.90,107.07,110.91
2015,Enero,0312102,Camisa para hombre                                                                                  ,109.56,105.56,107.95,113.20,112.28,114.30,110.67,110.31,108.95
2015,Enero,0312103,Traje para hombre                                                                                   ,109.50,109.74,110.51,108.18,0.00,109.55,110.53,104.19,0.00
2015,Enero,0312104,Ropa deportiva para hombre                                                                          ,112.59,111.94,114.32,112.70,107.05,113.23,114.99,112.27,109.12
2015,Enero,0312105,Ropa interior y de dormir para hombre                                                               ,118.52,120.10,131.84,115.82,130.43,110.40,111.53,121.78,119.15
2015,Enero,0312201,Pantalón y falda para mujer                                                                         ,110.23,109.42,105.64,115.11,111.25,111.77,106.39,114.95,108.65
2015,Enero,0312202,Blusa para mujer                                                                                    ,108.96,106.39,111.91,113.65,114.64,111.38,110.65,103.93,106.35
2015,Enero,0312203,Otro vestuario de mujer                                                                             ,109.27,109.68,116.26,114.56,109.89,112.25,106.92,105.46,101.94
2015,Enero,0312204,Ropa interior y de dormir para mujer                                                                ,110.32,108.72,105.74,110.11,109.71,119.46,113.35,102.73,110.65
2015,Enero,0312301,Pantalón y pantaloneta para niño                                                                    ,113.13,110.39,117.05,113.22,133.97,122.41,105.99,110.32,109.57
2015,Enero,0312302,"Pantalón, falda y short  para niña                                                                  ",107.29,106.17,110.06,123.57,105.72,104.27,102.62,105.47,106.37
2015,Enero,0312303,Camisa y playera para niño                                                                          ,110.89,108.09,114.24,118.12,115.08,110.12,108.92,109.36,114.54
2015,Enero,0312304,Blusa para niña                                                                                     ,109.68,107.56,107.08,116.67,109.21,108.29,110.27,112.40,106.13
2015,Enero,0312305,Vestido para niña                                                                                   ,110.92,107.40,109.59,126.20,116.65,112.99,107.98,104.11,113.39
2015,Enero,0312306,Camiseta para niño                                                                                  ,108.77,113.57,131.81,104.73,111.57,111.20,103.40,100.00,110.06
2015,Enero,0312401,Pijamas para bebé                                                                                   ,112.30,110.80,104.74,0.00,126.23,127.40,105.76,107.81,113.77
2015,Enero,0312501,Uniforme escolar                                                                                    ,113.45,111.98,108.21,109.77,124.98,114.38,116.43,108.52,115.66
2015,Enero,0313101,Artículos varios de vestuario                                                                       ,107.98,106.48,107.73,106.95,104.34,110.65,107.87,112.61,105.30
2015,Enero,0313102,Otras prendas de vestir                                                                             ,107.31,105.16,108.45,115.45,126.43,106.89,105.89,109.24,111.74
2015,Enero,0314101,Servicio de limpieza de prendas de vestir                                                           ,110.54,111.00,104.37,106.50,114.47,114.83,108.29,0.00,130.79
2015,Enero,0321101,Zapatos para hombre                                                                                 ,107.97,104.20,111.50,118.78,112.53,107.85,107.54,110.37,114.93
2015,Enero,0321201,Zapatos varios para mujer                                                                           ,110.32,111.00,113.80,110.20,112.50,111.16,106.63,110.18,115.60
2015,Enero,0321202,Zapatos para mujer                                                                                  ,105.36,104.27,105.18,106.36,114.11,113.16,102.16,100.61,108.56
2015,Enero,0321203,Zapatos varios para mujer                                                                           ,110.41,107.27,104.07,121.02,102.90,108.82,112.78,121.31,108.40
2015,Enero,0321301,Calzado para niño                                                                                   ,109.25,110.97,113.80,129.61,114.92,112.43,102.13,99.37,111.35
2015,Enero,0321302,Calzado para niña                                                                                   ,110.60,106.22,106.63,117.34,103.08,114.10,112.98,109.89,117.54
2015,Enero,0322101,Servicio de reparación de calzado                                                                   ,110.59,111.65,117.28,126.21,102.60,100.00,111.19,109.58,111.67
2015,Enero,04,"Vivienda, agua, electricidad, gas y otros combustibles                                              ",108.17,103.99,114.65,111.84,111.09,105.88,116.62,102.99,110.53
2015,Enero,0411101,Alquiler de vivienda                                                                                ,104.45,105.37,109.33,109.06,100.00,100.52,101.07,101.53,109.76
2015,Enero,0421101,Materiales diversos para reparación  de vivienda                                                    ,107.15,107.14,106.30,107.00,109.24,105.77,106.54,108.59,108.02
2015,Enero,0421102,Trabajos para vivienda                                                                              ,116.40,119.20,103.57,117.09,104.00,108.76,118.56,100.00,129.63
2015,Enero,0421103,Artículos para electricidad y grifería                                                              ,113.85,112.52,105.86,110.16,119.95,107.53,116.68,119.95,106.50
2015,Enero,0422101,Servicio de mantenimiento de vivienda                                                               ,111.85,112.71,143.87,121.44,110.10,101.60,110.34,100.00,134.09
2015,Enero,0431101,Agua potable                                                                                        ,113.58,113.25,100.00,106.27,100.05,164.27,100.00,100.00,113.15
2015,Enero,0432101,Servicio de retiro de basura                                                                        ,101.68,100.00,100.00,93.54,100.00,100.00,114.87,116.67,125.00
2015,Enero,0441101,Servicio de electricidad                                                                            ,106.50,100.44,111.91,110.67,110.40,104.40,114.44,112.36,109.20
2015,Enero,0442101,Gas propano                                                                                         ,90.59,91.44,98.05,89.46,89.28,88.23,89.97,90.39,86.13
2015,Enero,0443101,Carbón                                                                                              ,163.57,151.23,215.24,160.31,354.96,143.70,133.66,156.45,304.48
2015,Enero,0443102,Leña                                                                                                ,122.57,115.21,119.50,130.99,133.33,115.07,143.81,100.00,110.06
2015,Enero,05,"Muebles, artículos para el hogar y para la conservación  del hogar                                  ",110.63,110.33,113.33,113.67,114.42,113.20,107.18,109.20,109.13
2015,Enero,0511101,Cama                                                                                                ,111.38,113.77,109.45,115.16,113.00,109.15,109.10,109.99,108.61
2015,Enero,0511102,Cuna                                                                                                ,108.75,107.04,121.36,126.81,106.87,107.21,108.12,107.60,112.46
2015,Enero,0511103,Juego de comedor                                                                                    ,113.94,117.72,109.36,112.39,103.98,109.51,114.17,127.30,113.61
2015,Enero,0511104,Muebles para cocina                                                                                 ,106.64,102.00,127.43,112.05,103.83,113.99,105.43,106.29,125.05
2015,Enero,0511105,Juego de sala                                                                                       ,107.29,104.98,122.90,112.15,109.26,107.63,108.78,104.82,103.68
2015,Enero,0511106,Muebles modulares                                                                                   ,109.83,109.67,114.17,120.51,102.42,107.50,110.52,105.95,107.85
2015,Enero,0511201,Alfombra                                                                                            ,118.56,120.85,100.00,0.00,0.00,101.93,106.05,107.69,0.00
2015,Enero,0511202,"Puertas, lámparas y varios                                                                          ",113.10,122.94,111.75,110.62,111.37,113.42,106.76,108.79,108.54
2015,Enero,0521101,Cubrecama                                                                                           ,107.28,102.49,115.52,114.01,133.49,100.21,108.99,103.47,103.20
2015,Enero,0521102,Sábana                                                                                              ,118.97,110.67,108.46,123.77,178.62,110.00,112.46,100.00,112.53
2015,Enero,0521103,Poncho y frazadas                                                                                   ,105.31,105.60,115.20,0.00,114.00,106.56,105.94,99.12,0.00
2015,Enero,0521104,Mantel                                                                                              ,108.95,107.99,122.60,106.71,106.83,116.30,112.09,100.00,107.24
2015,Enero,0521105,Cortinas                                                                                            ,105.51,105.48,114.61,110.68,98.21,102.50,102.23,109.65,106.07
2015,Enero,0522101,Estufa                                                                                              ,107.57,106.52,117.39,107.45,107.70,110.09,105.16,108.70,106.75
2015,Enero,0522102,Refrigerador                                                                                        ,108.74,109.95,113.06,111.30,108.61,108.68,108.12,107.84,100.42
2015,Enero,0522103,Lavadora                                                                                            ,107.64,108.76,112.37,106.90,102.03,106.58,108.29,107.21,103.41
2015,Enero,0523101,Horno de microondas                                                                                 ,108.54,109.81,110.13,108.08,116.38,109.32,103.23,108.22,101.70
2015,Enero,0523102,Licuadora                                                                                           ,111.27,113.13,115.41,109.87,115.88,108.48,106.40,110.24,112.62
2015,Enero,0523103,Ventilador                                                                                          ,107.12,100.71,105.38,108.57,121.29,110.57,98.52,109.54,106.92
2015,Enero,0523104,Plancha eléctrica                                                                                   ,111.50,113.29,123.91,113.34,113.71,110.77,103.83,108.91,110.95
2015,Enero,0531101,Vajillas                                                                                            ,114.66,116.94,112.11,109.79,137.50,127.28,107.04,116.42,103.20
2015,Enero,0531102,Baterías de cocina                                                                                  ,113.34,112.56,112.69,125.23,115.15,116.34,105.64,107.25,110.12
2015,Enero,0531103,Juegos de vasos                                                                                     ,111.31,110.62,107.55,117.86,106.65,113.03,115.22,105.93,107.30
2015,Enero,0531104,Utensilios de cocina                                                                                ,110.21,109.11,118.14,110.71,124.22,113.40,110.47,105.90,108.63
2015,Enero,0541101,Barreno eléctrico                                                                                   ,110.91,109.29,0.00,108.86,0.00,110.44,111.87,0.00,0.00
2015,Enero,0541201,Martillo                                                                                            ,117.23,118.01,124.46,119.24,124.01,117.90,113.23,118.96,109.05
2015,Enero,0541202,Machete                                                                                             ,107.15,109.07,111.03,107.47,110.03,104.05,103.99,110.93,106.14
2015,Enero,0541203,Serrucho                                                                                            ,111.87,115.28,114.86,113.96,105.51,114.20,111.26,109.38,109.23
2015,Enero,0541204,Desarmadores                                                                                        ,111.98,117.25,110.01,0.00,0.00,0.00,112.69,117.53,104.43
2015,Enero,0551101,Aromatizador y desinfectante                                                                        ,130.70,138.82,106.55,104.34,101.84,127.74,111.59,109.43,104.12
2015,Enero,0551102,Detergentes y jabones para ropa                                                                     ,110.58,108.10,115.96,114.99,114.74,116.94,106.37,106.90,112.69
2015,Enero,0551103,Jabón varias clases                                                                                 ,118.23,118.69,108.67,109.69,119.75,112.58,113.06,143.41,112.01
2015,Enero,0551201,Artículos para limpieza del hogar                                                                   ,110.02,111.10,116.03,109.44,111.05,110.75,105.21,110.95,110.75
2015,Enero,0551202,Fósforos                                                                                            ,106.56,111.65,106.22,102.61,104.35,105.54,103.67,105.75,99.81
2015,Enero,0551203,Servilletas de papel                                                                                ,117.17,119.25,109.72,125.30,109.78,115.80,108.79,120.03,104.75
2015,Enero,0551204,Veladoras y candelas                                                                                ,104.18,103.97,99.99,119.16,103.51,109.78,104.98,100.33,100.65
2015,Enero,0552101,Servicio doméstico por mes                                                                          ,112.81,115.19,128.07,113.93,107.38,115.16,103.24,109.17,125.19
2015,Enero,0552102,Lavado de ropa diversa                                                                              ,112.37,116.74,106.27,100.00,0.00,106.12,108.67,100.00,107.33
2015,Enero,06,Salud                                                                                               ,111.56,112.27,113.49,115.94,117.92,110.56,107.58,109.00,110.92
2015,Enero,0611101,Analgésico y antiinflamatorio                                                                       ,111.59,109.68,121.79,118.97,113.77,113.55,108.92,112.39,104.56
2015,Enero,0611102,Antiácido y antiulceroso                                                                            ,111.05,109.48,115.27,107.25,108.52,111.84,112.75,117.25,110.03
2015,Enero,0611103,Antialérgico                                                                                        ,119.00,125.75,116.00,113.72,121.98,116.46,107.16,123.29,102.65
2015,Enero,0611104,Antibiótico                                                                                         ,111.73,111.70,114.84,104.32,113.88,114.27,106.81,121.89,103.96
2015,Enero,0611105,Antigripal                                                                                          ,113.53,118.82,115.87,121.23,130.44,104.80,107.52,106.86,106.07
2015,Enero,0611106,Antihipertensor                                                                                     ,114.63,114.68,114.01,113.24,122.54,127.10,106.31,110.57,98.81
2015,Enero,0611107,Vacunas de prevención                                                                               ,105.20,100.00,129.34,107.72,100.00,104.58,110.00,100.00,100.00
2015,Enero,0611108,Dermatológico                                                                                       ,113.26,115.63,116.31,103.73,121.46,117.39,108.98,113.08,113.21
2015,Enero,0611109,Mucolítico y broncodilatador                                                                        ,116.58,121.84,110.63,118.27,115.44,115.02,110.17,118.26,118.40
2015,Enero,0611110,Vitaminas y minerales                                                                               ,109.19,109.18,117.39,110.88,114.17,105.22,106.48,110.53,111.14
2015,Enero,0612101,"Vendas, parches, apósitos                                                                           ",125.93,133.01,132.78,120.40,119.77,131.38,108.25,117.25,120.62
2015,Enero,0612102,Preservativos                                                                                       ,112.34,110.36,119.06,111.33,118.59,119.23,115.27,120.54,105.67
2015,Enero,0613101,Lentes de corrección                                                                                ,111.29,108.93,110.44,118.67,108.17,111.09,119.45,113.09,104.89
2015,Enero,0621101,Consulta médica                                                                                     ,114.23,116.09,110.90,121.18,128.48,119.03,107.06,107.73,107.99
2015,Enero,0621102,Consulta con ginecólogo                                                                             ,112.24,114.39,105.95,112.04,106.64,108.70,127.92,100.00,103.79
2015,Enero,0622101,Consulta odontológica                                                                               ,113.18,115.91,121.06,112.06,103.93,109.16,109.61,100.17,119.49
2015,Enero,0622102,Tratamiento odontológico                                                                            ,110.69,112.56,107.67,116.86,125.43,109.17,102.63,104.85,115.99
2015,Enero,0623101,Examen de radiología y otros                                                                        ,108.77,106.68,107.38,114.86,126.57,102.40,109.26,104.28,114.93
2015,Enero,0623102,Examen de laboratorio clínico                                                                       ,108.91,107.34,106.00,127.91,100.00,102.84,104.62,102.36,129.04
2015,Enero,0631101,Servicio de hospitalización                                                                         ,106.10,108.06,105.73,107.72,114.47,101.43,101.49,100.00,111.19
2015,Enero,0631102,Intervención hospitalaria                                                                           ,108.75,103.34,108.45,130.14,116.89,105.66,105.38,106.27,116.41
2015,Enero,07,Transporte                                                                                          ,100.14,99.43,113.65,100.82,110.19,101.03,96.55,94.65,100.88
2015,Enero,0711101,Automóvil y pick up                                                                                 ,100.31,102.10,100.74,99.30,98.68,99.48,97.92,98.78,101.22
2015,Enero,0712101,Motocicletas                                                                                        ,104.64,107.21,105.10,101.33,102.93,106.37,107.19,100.95,104.85
2015,Enero,0713101,Bicicletas                                                                                          ,110.19,111.61,107.44,116.66,106.20,117.50,104.45,109.63,106.64
2015,Enero,0721101,Repuestos para vehículos en general (amortiguador)                                                  ,112.88,105.72,103.32,113.45,152.62,117.00,113.03,101.67,119.66
2015,Enero,0721102,Llantas para automóvil                                                                              ,117.08,120.80,101.78,112.39,120.15,123.82,115.55,99.90,115.74
2015,Enero,0721103,Baterías y lubricantes                                                                              ,113.61,111.20,115.72,112.59,123.49,114.21,112.00,118.82,109.51
2015,Enero,0722101,Gasolina superior                                                                                   ,73.69,72.69,76.98,78.55,75.96,75.05,73.82,70.91,75.95
2015,Enero,0722102,Gasolina regular                                                                                    ,71.77,70.25,75.26,77.52,75.26,72.60,72.34,69.91,73.97
2015,Enero,0722103,Diésel                                                                                              ,75.54,73.16,77.89,79.85,75.75,76.12,76.80,72.27,78.00
2015,Enero,0723101,Servicio de mantenimiento de automóvil                                                              ,113.56,116.95,100.00,109.35,103.79,105.64,119.50,106.09,113.60
2015,Enero,0723102,Reparación de automóvil                                                                             ,112.07,113.60,111.41,128.10,102.10,109.99,105.45,108.08,115.34
2015,Enero,0723103,Lavado de automóvil                                                                                 ,114.41,118.37,112.67,136.30,103.40,101.50,104.54,102.43,101.94
2015,Enero,0724101,Parqueo                                                                                             ,112.35,113.71,137.18,90.57,105.29,102.20,108.33,107.92,0.00
2015,Enero,0724201,Servicio de pinchazo                                                                                ,106.09,105.93,110.67,108.54,100.00,104.10,111.61,103.44,101.50
2015,Enero,0724202,Licencia de conducir                                                                                ,99.94,100.00,100.00,100.00,100.00,100.00,100.00,99.44,100.00
2015,Enero,0731101,Servicio de taxi                                                                                    ,120.08,125.43,120.81,106.65,100.00,122.43,100.39,101.85,115.74
2015,Enero,0731102,Servicio de transporte escolar                                                                      ,101.93,102.58,102.84,100.00,106.99,101.04,101.33,100.00,100.80
2015,Enero,0731103,Servicio de bus urbano                                                                              ,104.68,103.66,100.00,100.00,122.47,100.00,110.66,100.00,0.00
2015,Enero,0731104,Servicio de bus extraurbano                                                                         ,115.93,115.92,133.83,110.09,162.46,120.44,100.00,100.81,114.02
2015,Enero,0732101,Servicio de transporte aéreo                                                                        ,280.52,282.16,276.91,276.91,276.91,276.91,276.91,276.91,276.91
2015,Enero,08,Comunicaciones                                                                                      ,101.20,101.68,100.31,100.45,102.58,100.80,100.57,100.58,101.04
2015,Enero,0811101,Servicio postal                                                                                     ,106.82,102.79,114.46,112.40,107.89,100.47,114.99,105.28,104.21
2015,Enero,0821101,Equipo de telefonía móvil                                                                           ,100.43,100.62,97.37,94.43,109.09,103.55,97.50,101.22,102.28
2015,Enero,0831101,Servicio de internet residencial                                                                    ,101.93,101.93,101.93,101.93,101.93,101.93,101.93,101.93,101.93
2015,Enero,0831102,"Servicio de paquete de telecomunicaciones (internet, tv, etc)                                       ",99.06,97.41,101.71,100.14,102.60,99.05,101.34,100.00,100.00
2015,Enero,0831103,Servicio de telefonía móvil                                                                         ,101.28,102.66,100.22,101.01,100.46,100.42,100.39,100.15,100.56
2015,Enero,0831104,Servicio de telefonía residencial                                                                   ,103.51,103.51,103.51,103.51,103.51,103.51,103.51,103.51,103.51
2015,Enero,0831201,Servicio público de comunicaciones                                                                  ,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2015,Enero,0831202,Servicio público de internet                                                                        ,106.27,108.78,100.00,106.10,128.73,99.72,100.48,100.00,101.68
2015,Enero,09,Recreación y cultura                                                                                ,110.31,111.41,110.44,106.97,105.03,111.57,107.13,114.36,108.30
2015,Enero,0911101,Televisor                                                                                           ,99.44,96.31,104.47,101.59,99.01,103.10,98.15,102.19,103.63
2015,Enero,0911102,Reproductor portátil de audio y video                                                               ,81.89,100.86,65.03,60.99,80.68,99.61,55.63,56.60,57.10
2015,Enero,0912101,Cámara de video                                                                                     ,101.51,94.80,97.14,113.10,0.00,102.61,103.36,100.41,106.88
2015,Enero,0912102,Cámara fotográfica                                                                                  ,103.98,109.07,98.84,98.55,104.53,98.65,95.10,104.20,98.12
2015,Enero,0913101,Computadora                                                                                         ,101.46,102.76,103.81,102.25,95.17,104.11,99.43,95.56,99.84
2015,Enero,0913102,Tintas y tóner para impresora                                                                       ,105.33,105.98,110.49,102.99,102.23,104.29,105.02,103.25,105.46
